# Constructed from biom file
#OTU ID	F1E	F2A	F2D	F2E	F3E	N1B	N1C	N1D	N1E	N2A	N2B	N2D	N3A	N3C	N3E
ca6c2b3b469c08212142e8821c65882a	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	45.0	78.0	0.0	0.0
acc6343bd9e45df1490094a923761d77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	221.0	0.0	0.0	0.0	0.0	0.0
cd9c6b8a6e7c4c3bbfed9063b7496da8	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0
cd98bebc7cd29d008813bd847394c1f2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
b484195da5a669012008758c2f88fb90	0.0	0.0	0.0	0.0	7.0	0.0	0.0	20.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0
950d89343b4e8dbcf83c136eff3f375b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0
11397adbcc3ae7ea2d586775e298a19d	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44cf3d3e7a91fb698ee87c3808f9b1bd	0.0	0.0	0.0	0.0	148.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	38.0	15.0	0.0
2f5a22680fc733973cff34cec9ffb1e7	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	10.0	0.0	0.0	0.0
8048c6d48b7eb0a432dc4aa28e73ecce	0.0	0.0	36.0	0.0	0.0	0.0	0.0	425.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
93182f8721b83fc631204f9ca70487c5	16.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	15.0
68c56896f754db932a51a88ebad5bc6a	0.0	16.0	0.0	0.0	0.0	5.0	0.0	7.0	11.0	0.0	10.0	34.0	33.0	0.0	16.0
96d0721be947f0dd8b619e7f8a2e3a8a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0
ebf218386e4aa0d5a43400687f6bb635	31.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ff173a4b9ebf8f9252d8b2f91897e57c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	11.0	0.0	0.0	0.0	0.0
2f9103a7492f2978e9c17a2c45995b2e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	7.0	6.0	0.0
26b4b526e1e97e0a1322abc26264cfea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	24.0	0.0	0.0	0.0
50dcb728c67166ba82dcfc503a9eae8a	8.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0a21726cd4952a96635576553da67787	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
8f6bd73ff858f125f501dc14911fd444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	28.0	0.0	0.0
427ae0a31574f89e592eb8e5390620fa	14.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0
a1429d5b6762aee13e0f0da181a871a0	6.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
674d3fca8b60d684ea44b52ad3fd4c73	0.0	27.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eb28b1a40981d38e6a0aab251174dae1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	26.0	35.0	0.0	0.0
8e80ec2ce7273253b1e98358d64aef04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0
39730ff4c716d18c6f0c9e93a622a797	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0
