Sample	F1E	F2A	F2D	F2E	F3E	N1B	N1C	N1D	N1E	N2A	N2B	N2D	N3A	N3C	N3E
commons	Gandhi	Turing	Turing	Turing	Hopper	Carver	Carver	Carver	Carver	Newton	Newton	Newton	Galileo	Galileo	Galileo
Archaea	0.0063496015936255	0.00120937263794407	0	0.00158353127474268	0	0	0	0.00133828996282528	0.00572701240852689	0.00188014101057579	0.000372995151063036	0.00581450767324373	0.00569235689158938	0	0
Bacteria	0.993650398406374	0.998790627362056	1	0.998416468725257	1	1	1	0.998661710037175	0.994272987591473	0.998119858989424	0.999627004848937	0.994185492326756	0.994307643108411	1	1
Archaea|Crenarchaeota	0.0063496015936255	0.00120937263794407	0	0.00158353127474268	0	0	0	0.00133828996282528	0.00572701240852689	0.00188014101057579	0.000372995151063036	0.00581450767324373	0.00569235689158938	0	0
Bacteria|Proteobacteria	0.584287848605578	0.156160241874528	0.215458449103309	0.429928741092637	0.395011600928074	0.471967753755955	0.370061457418788	0.497546468401487	0.537384664333439	0.591774383078731	0.431928384930996	0.571632828138404	0.405884234090182	0.440857222376844	0.804357904496987
Bacteria|[Thermi]	0	0	0.00176812326345037	0	0.00203016241299304	0	0.00438981562774363	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes	0.0490537848605578	0.00317460317460317	0.0356150543066431	0.0407759303246239	0.0403132250580046	0.0190545987541224	0.00658472344161545	0.0495167286245353	0.0195672923958002	0.045123384253819	0.0169712793733681	0.0211609951386903	0.0463063639270867	0.0400779293069858	0.0289754288363468
Bacteria|Nitrospirae	0.00460657370517928	0	0	0	0	0	0	0.000346964064436183	0.000318167356029271	0.00352526439482961	0	0.00181107616051854	0.00185481291973137	0.00222655162816588	0
Bacteria|Acidobacteria	0.00883964143426295	0.0036281179138322	0	0.00356294536817102	0.00725058004640371	0	0.000877963125548727	0.000446096654275093	0.0022271714922049	0.00258519388954172	0.00093248787765759	0.00209703555428462	0.00844259673808762	0.00974116337322572	0
Bacteria|Actinobacteria	0.17417828685259	0.653968253968254	0.203081586259156	0.174188440221694	0.174303944315545	0.240747526566508	0.362598770851624	0.127187112763321	0.234330257715558	0.187309048178613	0.296282481661072	0.214374225526642	0.241317556763671	0.244364041191205	0.0938803894297636
Bacteria|Firmicutes	0.119646414342629	0.171277399848828	0.51250315736297	0.243863816310372	0.294663573085847	0.224257969952363	0.242756804214223	0.269343246592317	0.110085905186128	0.12502937720329	0.226470222553773	0.152511676675245	0.183818356251999	0.175062621764542	0.0556328233657858
Bacteria|Planctomycetes	0	0.00196523053665911	0	0	0	0	0	0.000446096654275093	0	0	0	0	0.000959385992964503	0.00667965488449763	0
Bacteria|Verrucomicrobia	0.00161852589641434	0	0	0	0	0	0	0	0	0	0	0	0.00313399424368404	0	0.00347705146036161
Bacteria|Fusobacteria	0	0	0	0	0.00812064965197216	0.00219860754855258	0.00526777875329236	0	0	0.00258519388954172	0	0	0	0	0
Bacteria|Cyanobacteria	0.0514193227091633	0.00861678004535147	0.0315736297044708	0.106096595407759	0.0783062645011601	0.0417735434224991	0.00746268656716418	0.0538289962825279	0.0903595291123131	0.0401880141010576	0.0270421484520701	0.0305976551329711	0.102590342181004	0.0809908154745338	0.0136764024107557
Archaea|Crenarchaeota|Thaumarchaeota	0.0063496015936255	0.00120937263794407	0	0.00158353127474268	0	0	0	0.00133828996282528	0.00572701240852689	0.00188014101057579	0.000372995151063036	0.00581450767324373	0.00569235689158938	0	0
Bacteria|Proteobacteria|Gammaproteobacteria	0.348107569721116	0.0876795162509448	0.0899216973983329	0.225257323832146	0.26885150812065	0.32722609014291	0.263827919227392	0.157125154894672	0.352211263124403	0.298942420681551	0.325438269302499	0.395958440568106	0.108410617204989	0.180350681881436	0.570700046360686
Bacteria|Proteobacteria|Betaproteobacteria	0.0662350597609562	0.0101284958427816	0.0434453144733519	0.0459224069675376	0.0237819025522042	0.0223525100769513	0.0237050043898156	0.28089219330855	0.0313394845688832	0.0526439482961222	0.0243068506776079	0.0385091983604995	0.0743204349216501	0.0292234901196772	0.0526193787668057
Bacteria|Proteobacteria|Alphaproteobacteria	0.157619521912351	0.0445956160241875	0.0820914372316242	0.150435471100554	0.0948375870069606	0.115793330890436	0.0715539947322213	0.0568029739776952	0.145561565383392	0.184253819036428	0.0788263085913216	0.129634925173959	0.207163415414135	0.220428611188422	0.16458043579045
Bacteria|Proteobacteria|Unclassified Proteobacteria	0.0123256972111554	0.00105820105820106	0	0.00712589073634204	0	0.00146573836570172	0.00614574187884109	0.000148698884758364	0.00779510022271715	0.00117508813160987	0.0010568195946786	0.00505194928986751	0.0115765909817717	0.0108544391873087	0.0136764024107557
Bacteria|Proteobacteria|Deltaproteobacteria	0	0.0126984126984127	0	0.00118764845605701	0.00754060324825986	0.00513008427995603	0.004828797190518	0.00257744733581165	0.000477251034043907	0.05475910693302	0.00230013676488872	0.00247831474597274	0.00441317556763671	0	0.00278164116828929
Bacteria|[Thermi]|Deinococci	0	0	0.00176812326345037	0	0.00203016241299304	0	0.00438981562774363	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Cytophagia	0.0230328685258964	0.00196523053665911	0.0030310684516292	0.0154394299287411	0.0284222737819026	0.0142909490655918	0	0.016456009913259	0.00811326757874642	0.0108108108108108	0.00770856645530275	0.00514726908778953	0.0244963223536936	0.0264403005844698	0.00950394065832174
Bacteria|Bacteroidetes|Unclassified Bacteroidetes	0.00311254980079681	0	0	0.00910530482977039	0.00406032482598608	0	0	0.00158612143742255	0.000954502068087814	0	0	0.00514726908778953	0.00166293572113847	0	0.00115901715345387
Bacteria|Bacteroidetes|[Saprospirae]	0.00199203187250996	0	0.00176812326345037	0.00197941409342835	0.000870069605568445	0	0.00263388937664618	0.00327137546468401	0.00684059815462934	0.00916568742655699	0.00484893696381947	0.00505194928986751	0.00575631595778702	0.00222655162816588	0.00509967547519703
Bacteria|Bacteroidetes|Bacteroidia	0	0	0.0045466026774438	0	0	0	0	0	0	0	0.000870322019147084	0	0.000575631595778702	0	0
Bacteria|Bacteroidetes|Sphingobacteriia	0.0153137450199203	0	0.0149027532205102	0.0142517814726841	0.00348027842227378	0.0047636496885306	0.00395083406496927	0.00312267657992565	0.00365892459433662	0.0105757931844888	0.00136764888723113	0.00581450767324373	0.00524464342820595	0.00445310325633176	0.00533147890588781
Bacteria|Bacteroidetes|Flavobacteriia	0.00560258964143426	0.00120937263794407	0.0113665066936095	0	0.00348027842227378	0	0	0.0250805452292441	0	0.0145710928319624	0.00217580504786771	0	0.00857051487048289	0.00695797383801837	0.00788131664348632
Bacteria|Nitrospirae|Nitrospira	0.00460657370517928	0	0	0	0	0	0	0.000346964064436183	0.000318167356029271	0.00352526439482961	0	0.00181107616051854	0.00185481291973137	0.00222655162816588	0
Bacteria|Acidobacteria|Solibacteres	0.00684760956175299	0	0	0	0	0	0	0	0	0	0	0	0.000255836264790534	0.00222655162816588	0
Bacteria|Acidobacteria|Acidobacteriia	0.00199203187250996	0.0036281179138322	0	0	0	0	0.000877963125548727	0	0.000477251034043907	0.00258519388954172	0	0.00171575636259651	0.00338983050847458	0	0
Bacteria|Acidobacteria|Acidobacteria-6	0	0	0	0	0	0	0	0.000446096654275093	0	0	0	0	0	0.00751461174505984	0
